*****************************************************************************************************************************************************************************************************************************************
*Datum     *Event                                                                                             *Budget van Raafrekening*Totaal (0)*Op de bank van Raafrekening*Totaal (0)*Totaal verschuldigd aan Raafrekening*Totaal (0)*
*****************************************************************************************************************************************************************************************************************************************
*20-03-2012*Dennis heeft iets gekocht bij Jan Linders voor Raafrekening                                       *-€0.79                 * -€0.79   *                           *"         *-€0.79                              * -€0.79   *
*01-04-2013*Rik moet raafrekening betalen aan Raafrekening                                                    *€20.0                  * €538.3   *                           *"         *€20.0                               * €538.3   *
*01-04-2013*Mark moet raafrekening betalen aan Raafrekening                                                   *€20.0                  * €558.3   *                           *"         *€20.0                               * €558.3   *
*02-04-2013*Dennis heeft iets gekocht bij Jan Linders voor Raafrekening                                       *-€1.39                 * €556.64  *                           *"         *-€1.39                              * €556.64  *
*23-04-2013*Dennis heeft iets gekocht bij Jan Linders voor Raafrekening                                       *-€1.29                 * €555.35  *                           *"         *-€1.29                              * €555.35  *
*01-05-2013*Dennis moet raafrekening betalen aan Raafrekening                                                 *€20.0                  * €575.35  *                           *"         *€20.0                               * €575.35  *
*01-05-2013*Erik moet raafrekening betalen aan Raafrekening                                                   *€20.0                  * €595.35  *                           *"         *€20.0                               * €595.35  *
*01-05-2013*Boris moet raafrekening betalen aan Raafrekening                                                  *€20.0                  * €615.35  *                           *"         *€20.0                               * €615.35  *
*01-05-2013*Rik moet raafrekening betalen aan Raafrekening                                                    *€20.0                  * €635.35  *                           *"         *€20.0                               * €635.35  *
*01-05-2013*Mark moet raafrekening betalen aan Raafrekening                                                   *€20.0                  * €655.35  *                           *"         *€20.0                               * €655.35  *
*07-05-2013*Dennis heeft iets gekocht bij Jan Linders voor Raafrekening                                       *-€12.76                * €642.59  *                           *"         *-€12.76                             * €642.59  *
*15-05-2013*Boris heeft iets gekocht bij Jan Linders voor Raafrekening                                        *-€2.9                  * €640.50  *                           *"         *-€2.9                               * €640.50  *
*17-05-2013*Dennis heeft iets gekocht bij Jan Linders voor Raafrekening                                       *-€1.29                 * €639.21  *                           *"         *-€1.29                              * €639.21  *
*01-06-2013*Dennis moet raafrekening betalen aan Raafrekening                                                 *€20.0                  * €659.21  *                           *"         *€20.0                               * €659.21  *
*01-06-2013*Erik moet raafrekening betalen aan Raafrekening                                                   *€20.0                  * €679.21  *                           *"         *€20.0                               * €679.21  *
*01-06-2013*Boris moet raafrekening betalen aan Raafrekening                                                  *€20.0                  * €699.21  *                           *"         *€20.0                               * €699.21  *
*01-06-2013*Rik moet raafrekening betalen aan Raafrekening                                                    *€20.0                  * €719.21  *                           *"         *€20.0                               * €719.21  *
*01-06-2013*Mark moet raafrekening betalen aan Raafrekening                                                   *€20.0                  * €739.21  *                           *"         *€20.0                               * €739.21  *
*03-06-2013*Dennis heeft iets gekocht bij Jan Linders voor Raafrekening                                       *-€3.28                 * €735.93  *                           *"         *-€3.28                              * €735.93  *
*24-06-2013*Dennis heeft iets gekocht bij Jan Linders voor Raafrekening                                       *-€1.96                 * €733.97  *                           *"         *-€1.96                              * €733.97  *
*01-07-2013*Dennis moet raafrekening betalen aan Raafrekening                                                 *€20.0                  * €753.97  *                           *"         *€20.0                               * €753.97  *
*01-07-2013*Erik moet raafrekening betalen aan Raafrekening                                                   *€20.0                  * €773.97  *                           *"         *€20.0                               * €773.97  *
*01-07-2013*Rik moet raafrekening betalen aan Raafrekening                                                    *€20.0                  * €793.97  *                           *"         *€20.0                               * €793.97  *
*01-07-2013*Mark moet raafrekening betalen aan Raafrekening                                                   *€20.0                  * €813.97  *                           *"         *€20.0                               * €813.97  *
*31-07-2013*Dennis heeft iets gekocht bij Jan Linders voor Raafrekening                                       *-€1.15                 * €812.82  *                           *"         *-€1.15                              * €812.82  *
*05-08-2013*Dennis heeft iets gekocht bij Jan Linders voor Raafrekening                                       *-€4.99                 * €807.83  *                           *"         *-€4.99                              * €807.83  *
*05-08-2013*Dennis heeft iets gekocht bij Jan Linders voor Raafrekening                                       *-€1.89                 * €805.94  *                           *"         *-€1.89                              * €805.94  *
*TOTALEN:  *56                                                                                                *                       *€805.94   *                           *€0.0      *                                    *€805.94   *
*****************************************************************************************************************************************************************************************************************************************

